"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"27",100,1.53645353757819,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"28",100,1.18547532890054,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"29",100,0.604511035016216,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"30",100,0.590622770711223,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"31",100,0.676251672873395,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"32",100,0.651530435585605,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"33",100,0.656706369745564,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"34",100,0.657495573291718,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"35",100,0.664912090193632,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"36",100,0.633905603880587,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"37",100,0.561860769892909,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"38",100,0.717638149561566,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"39",100,0.643377804214049,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"40",100,0.58888423254614,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"41",100,0.560645994148231,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"42",100,0.570590811375644,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"43",100,0.391689692143326,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"44",100,0.391227527451006,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"45",100,0.546594025904438,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"46",100,0.558056372769148,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"47",100,0.459094271245728,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"48",100,0.523837178780874,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"49",100,0.517941110240855,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"50",100,0.587567808134552,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"51",100,0.435243084949147,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"52",100,0.935235402791893,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"53",100,0.790596022933274,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"54",100,1.06545005086509,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"55",100,0.930563379701156,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"56",100,0.899167227385509,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"57",100,0.300471477105664,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"58",100,0.368976521531959,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"59",100,0.770275311175878,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"60",100,0.692364718928289,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"61",100,1.00108413269503,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"62",100,0.874863257726014,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"63",100,0.913540103106931,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"64",100,0.486834356111044,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"65",100,0.500190588582795,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"66",100,0.56438396242059,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"67",100,0.655089089232909,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"68",100,0.704257364080792,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"69",100,0.892268022911888,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"70",100,0.767948704217421,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"71",300,0.246718616984905,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"72",300,0.262413263202245,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"73",300,0.695480634128529,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"74",300,0.682215218566544,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"75",300,0.838028948953955,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"76",300,0.781975218152873,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"77",300,0.791502136816921,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"78",300,0.398555747436601,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"79",300,0.353115423374525,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"80",300,0.729278761130132,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"81",300,0.667975724047278,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"82",300,0.830151216421871,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"83",300,0.718935065559638,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"84",300,0.70825386182247,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"85",300,0.461963835475171,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"86",300,0.439104060660655,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"87",300,0.621782627173285,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"88",300,0.601725800166164,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"89",300,0.675271009090081,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"90",300,0.632832031885195,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"91",300,0.62803211078339,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"92",300,0.348810385150924,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"93",300,0.295586795486608,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"94",300,0.675436556202708,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"95",300,0.658486992280538,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"96",300,0.737151317209157,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"97",300,0.714845664202462,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"98",300,0.729140496645667,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"99",300,0.556796580671466,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"100",300,0.519028706072108,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"101",300,0.718598165881592,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"102",300,0.677476792832758,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"103",300,0.774728014477272,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"104",300,0.755322049639948,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"105",300,0.741519971501686,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"106",300,0.456848579065317,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"107",300,0.482006629032249,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"108",300,0.604297822805847,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"109",300,0.616015752096908,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"110",300,0.702407346232602,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
