"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"27",100,-0.313540341265386,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"28",100,-0.315200376182737,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"29",100,-0.103095720432747,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"30",100,-0.179743540565885,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"31",100,-0.131601463220005,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"32",100,-0.191482675986491,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"33",100,-0.0981717671083024,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"34",100,-0.176757282249232,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"35",100,-0.17204601503125,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"36",100,-0.19589832403626,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"37",100,-0.187968671888438,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"38",100,-0.182606216535941,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"39",100,-0.188743187723121,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"40",100,-0.141949499832842,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"41",100,-0.134275026869588,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"42",100,-0.150939854197485,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"43",100,0.249884352216041,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"44",100,0.0861461319091404,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"45",100,0.250917540696027,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"46",100,0.168972934853085,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"47",100,0.310522759145982,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"48",100,0.23898386426612,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"49",100,0.242623617455939,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"50",100,0.0631357399306288,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"51",100,0.024473981546027,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"52",100,0.012309417007,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"53",100,-0.0482994899575914,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"54",100,0.0248754202236743,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"55",100,-0.0524016244107905,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"56",100,-0.0447339824231002,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"57",100,0.0266484689998486,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"58",100,0.0413691072672819,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"59",100,-0.0735768512149417,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"60",100,-0.0630522262491642,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"61",100,-0.043708543717248,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"62",100,-0.0431690382788463,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"63",100,-0.0458112804628253,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"64",100,-0.0906935754086074,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"65",100,-0.00829836458282431,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"66",100,-0.175573350124552,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"67",100,-0.130734486675069,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"68",100,-0.16848058302192,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"69",100,-0.148702443749879,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"70",100,-0.122367928011992,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
