"","sample.size","estimate","estimator","subset","simulation","independence","nuisance"
"108","500",-0.0606612441091249,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"109","500",830.374001044312,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"110","500",3.27825691819726,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"111","500",5.3278441157097,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"112","500",-0.415265148912381,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"113","500",-0.83949014899375,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"114","500",-0.0981142578546082,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"115","500",15.7253315436552,"ipw","smart","linear.constant.cate",TRUE,"linear"
"116","500",3.27825691819726,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"117","500",3.53419271637982,"aipw","smart","linear.constant.cate",TRUE,"linear"
"118","500",4.71397735034845,"ipw","smart","linear.constant.cate",TRUE,"forest"
"119","500",-0.80853923075389,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"120","500",1.02188667824322,"aipw","smart","linear.constant.cate",TRUE,"forest"
"121","500",15.7253315436552,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"122","500",3.44835589203189,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"123","500",2.75925917403319,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"124","500",5.30620571209461,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"125","500",-0.0187459093384383,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"126","500",1.57898156691905,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"127","500",7484.53519164915,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"128","500",3.3765439786768,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"129","500",72.77406259775,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"130","500",-1.17408480027252,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"131","500",-0.422035621871316,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"132","500",-0.0320473850034233,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"133","500",122.312345802736,"ipw","smart","linear.constant.cate",TRUE,"linear"
"134","500",3.3765439786768,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"135","500",4.78253258296895,"aipw","smart","linear.constant.cate",TRUE,"linear"
"136","500",-1.11053100533837,"ipw","smart","linear.constant.cate",TRUE,"forest"
"137","500",-0.479425732408334,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"138","500",0.517428421667021,"aipw","smart","linear.constant.cate",TRUE,"forest"
"139","500",122.312345802736,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"140","500",4.46474663702625,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"141","500",14.1370139618809,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"142","500",-0.599270591349001,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"143","500",0.281763321222769,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"144","500",1.33413263305615,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"145","500",1018.5636119943,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"146","500",3.05628771743129,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"147","500",6.48217336616126,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"148","500",-0.533312603385006,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"149","500",-1.06961086349275,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"150","500",-0.761655002075342,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"151","500",14.5300306670568,"ipw","smart","linear.constant.cate",TRUE,"linear"
"152","500",3.05628771743129,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"153","500",3.28977297555299,"aipw","smart","linear.constant.cate",TRUE,"linear"
"154","500",-0.768624317016673,"ipw","smart","linear.constant.cate",TRUE,"forest"
"155","500",-1.12570356914452,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"156","500",-0.393125203659173,"aipw","smart","linear.constant.cate",TRUE,"forest"
"157","500",14.5300306670568,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"158","500",2.80241551082366,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"159","500",4.87683443698004,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"160","500",-1.25048898251487,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"161","500",-0.393732895158404,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"162","500",-0.0724588316195468,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"163","500",281.674864582732,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"164","500",3.19033684038719,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"165","500",-0.587417059626695,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"166","500",-2.70618104544777,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"167","500",-0.833758196924215,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"168","500",-0.48008461084866,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"169","500",5.58799154212283,"ipw","smart","linear.constant.cate",TRUE,"linear"
"170","500",3.19033684038719,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"171","500",2.84906128549046,"aipw","smart","linear.constant.cate",TRUE,"linear"
"172","500",0.827682394365897,"ipw","smart","linear.constant.cate",TRUE,"forest"
"173","500",-0.75595186750844,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"174","500",0.45041905333962,"aipw","smart","linear.constant.cate",TRUE,"forest"
"175","500",5.58799154212283,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"176","500",3.07973638509265,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"177","500",2.77482938838242,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"178","500",0.686077816529595,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"179","500",-0.0503681116318297,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"180","500",0.857372093284683,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"181","500",5614.04775303467,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"182","500",2.72336378162644,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"183","500",297.471905584883,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"184","500",-1.9794740380306,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"185","500",-1.09479211850579,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"186","500",-0.590050019550047,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"187","500",-2.33148379531867,"ipw","smart","linear.constant.cate",TRUE,"linear"
"188","500",2.72336378162644,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"189","500",2.90152900952226,"aipw","smart","linear.constant.cate",TRUE,"linear"
"190","500",-1.64964415214763,"ipw","smart","linear.constant.cate",TRUE,"forest"
"191","500",-1.03431491198033,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"192","500",0.129116106205703,"aipw","smart","linear.constant.cate",TRUE,"forest"
"193","500",-2.33148379531867,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"194","500",3.01469297248623,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"195","500",3.37841030793897,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"196","500",-1.27022626531462,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"197","500",-0.455942293687965,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"198","500",0.550068869003253,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"199","500",128.216323384989,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"200","500",3.69345147115481,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"201","500",9.56552054107089,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"202","500",-3.86530274899909,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"203","500",-0.838944990164244,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"204","500",-0.528535154648495,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"205","500",6.35688825453167,"ipw","smart","linear.constant.cate",TRUE,"linear"
"206","500",3.69345147115481,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"207","500",4.38155259224301,"aipw","smart","linear.constant.cate",TRUE,"linear"
"208","500",-4.4283550750405,"ipw","smart","linear.constant.cate",TRUE,"forest"
"209","500",-0.881487306717336,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"210","500",0.471985220575798,"aipw","smart","linear.constant.cate",TRUE,"forest"
"211","500",6.35688825453167,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"212","500",5.28173914225723,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"213","500",5.53796544280323,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"214","500",-2.9246996448314,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"215","500",-0.067496725007743,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"216","500",1.31686468115349,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"217","500",154.840425881191,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"218","500",2.49861324754895,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"219","500",6.00652887773026,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"220","500",-1.44468971431534,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"221","500",-0.431424251011066,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"222","500",0.132863344558089,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"223","500",3.46271949844309,"ipw","smart","linear.constant.cate",TRUE,"linear"
"224","500",2.49861324754895,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"225","500",2.77946036967424,"aipw","smart","linear.constant.cate",TRUE,"linear"
"226","500",-0.666431423312572,"ipw","smart","linear.constant.cate",TRUE,"forest"
"227","500",-0.379495974726339,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"228","500",1.24118713857584,"aipw","smart","linear.constant.cate",TRUE,"forest"
"229","500",3.46271949844309,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"230","500",4.76741508293967,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"231","500",5.9064630642577,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"232","500",-1.20619797957723,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"233","500",0.562992289318423,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"234","500",1.81998392337426,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"235","500",2160412.86675227,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"236","500",3.33199408934163,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"237","500",-85949.9239886452,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"238","500",0.441955482250099,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"239","500",-0.752204237261623,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"240","500",-0.144000718265274,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"241","500",31.3150249414096,"ipw","smart","linear.constant.cate",TRUE,"linear"
"242","500",3.33199408934163,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"243","500",2.56788315505797,"aipw","smart","linear.constant.cate",TRUE,"linear"
"244","500",15.5480364593379,"ipw","smart","linear.constant.cate",TRUE,"forest"
"245","500",-0.746101638657354,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"246","500",1.96275688095024,"aipw","smart","linear.constant.cate",TRUE,"forest"
"247","500",31.3150249414096,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"248","500",3.44003758911849,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"249","500",0.752553095977396,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"250","500",17.541225070829,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"251","500",-0.0315262842733013,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"252","500",2.40544981270372,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"253","500",644.147973444425,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"254","500",3.21849059019341,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"255","500",-9.89698558680814,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"256","500",-1.44349948078054,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"257","500",-1.86968253262933,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"258","500",-1.47568759713167,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"259","500",12.9432595590362,"ipw","smart","linear.constant.cate",TRUE,"linear"
"260","500",3.21849059019341,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"261","500",2.97561908923674,"aipw","smart","linear.constant.cate",TRUE,"linear"
"262","500",-2.38485105370311,"ipw","smart","linear.constant.cate",TRUE,"forest"
"263","500",-1.74844257977498,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"264","500",-0.814140507273676,"aipw","smart","linear.constant.cate",TRUE,"forest"
"265","500",12.9432595590362,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"266","500",2.17128748671997,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"267","500",2.67711463283296,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"268","500",-2.36231789780556,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"269","500",-0.9878405066966,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"270","500",-0.121822928868486,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"271","500",1083.8888584071,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"272","500",3.4573429813335,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"273","500",16.5193620739483,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"274","500",-1.65302231152536,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"275","500",-1.3855631987159,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"276","500",-1.0518458219031,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"277","500",59.504738571758,"ipw","smart","linear.constant.cate",TRUE,"linear"
"278","500",3.4573429813335,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"279","500",4.42890447998041,"aipw","smart","linear.constant.cate",TRUE,"linear"
"280","500",-1.37561845744049,"ipw","smart","linear.constant.cate",TRUE,"forest"
"281","500",-1.29528055280674,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"282","500",-0.00756832331715494,"aipw","smart","linear.constant.cate",TRUE,"forest"
"283","500",59.504738571758,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"284","500",3.76659157968805,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"285","500",3.17473210952522,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"286","500",-0.109761294368686,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
